,claim_text,premise_texts,year,quarter,label
848,"claim: So when you say killer apps, the killer apps are how are customers able to reimagine how they think about customer engagement, how they think about employee empowerment or the operational efficiency, or how they can change the products and the business models and the products.","premises: [""The best way to think about how people are using, whether it's Azure or Dynamics 365 or other capabilities we have, is in the context of that digital transformation and the outcome."", 'And if you look at even the examples I used in this quarterly earnings call, Maersk and what they are trying to do across all of those is pretty transformative.', 'There is machine learning in AI.', 'There is IoT.', 'There is new type of business process automation with operations.', 'All of that is transforming Maersk.', ""What thyssenkrupp has done in their Elevator business and other business units by using anything from HoloLens to a front-line worker to how they're fundamentally moving their business model from essentially the margin on the thing to the margin on the service, which has machine learning and AI built into it."", ""And in fact, it's not about in fact taking any old workload per se, but it's about reimagining what they want to do across these."", ""And in that context, of course, they're lifting and shifting some of the older workloads, but they're modernizing the entire business process flow.""]",2017,Q3,0
2120,"claim: So we factor that in, and then there’s also two other issues.","premises: ['It’s a bit about the law of large numbers and the differential between growth and holiday season, that’s very tight few weeks of the holiday season versus the rest of the year.', 'The Diwali holiday in India was all in Q4 last year and a bit of it was in Q3 this year.', 'Also the Japan consumption tax was raised from 8% to 10% on October 1, and what we saw was a pre-buy a bit in Q3 at the end of the quarter, and based on our history with the last time the consumption tax went up many years ago, we’ve expected a slight negative impact from that tax in Q4 in Japan.', 'I would say it has helped us by 150 basis points in Q3, and will be a negative headwind of 300 basis points year-over-year in Q4.']",2019,Q3,1
238,"claim: Obviously, if you look at what we had launched in the last few quarters and few years, we launched a lot of new products, and now we are launching a lot of new services.","premises: [""And when we do that we need to make the adequate investments in marketing and advertising to raise the awareness of the new products and new services and that is what you're seeing for example in the guidance that we provided for the first quarter as we’re launching new services right now, and so we're making investments both in engineering and in advertising to support the new launches""]",2019,Q4,1
398,claim: and so this is the year where we've got our peak requirements in terms of capital.,"premises: ['And then around facilities, you probably know that we are nearing completion of our new campus here in Cupertino,']",2016,Q1,2
791,claim: We remain very focused on the consumer experience there.,"premises: [""We do have the WhatsApp Business app, which is helping businesses connect with consumers, and that's growing well but that monetization opportunity is not available.""]",2018,Q4,0
1422,claim: And so that is really why we have the constraint that we have.,"premises: ['It is clear that there is a demand there even much beyond what we thought.', ""The iPhone SE, we are thrilled with the response that we've seen on it.""]",2016,Q2,0
2116,claim: So that answers the question around Q2.,"premises: ['As you said, we were up 40 basis points sequentially.', 'And this is in spite of the fact, as you know, that we lose leverage as we go from the December quarter to the March quarter.', 'The foreign exchange headwind on a sequential basis was 100 basis points.', 'Obviously, that was also a negative.', 'And as you said, we started to experience some level of cost pressure on the memory side, particularly on NAND and DRAM.', 'To offset that, and actually do better than that, we had very good cost performance on other commodities', 'And the fact that our Services mix increases as we go through the year, that is of course also helping, given the profile of our gross margin for Services.']",2017,Q2,1
2007,"claim: It's not going to have a material impact on revenue in 2016,","premises: ['We did begin shipping units in the quarter.', 'This is very small still.', 'VR is still very early.']",2016,Q1,2
1113,"claim: So we are starting to see as I mentioned in earlier calls that the investment will be stepping up in 2019, so started to see that in Q2.","premises: ['Our trailing 12-month growth in that number is 21% after Q2.', ""So it's stepped up from 9% to 21%."", 'But the biggest, I would say the biggest impact in this operating profit was the addition of sales and marketing personnel in AWS and also to a lesser extent the stock-based compensation, which certainly hits across all of our businesses.']",2019,Q2,2
1025,claim: The next big use case that we've really been working on for a couple of years now and I think is going to – is starting to roll out and is growing quickly is people finding content on Facebook.,"premises: [""It's people finding post that their friends or others had posted in News Feed that they saw but then might want to go check out later.""]",2015,Q3,0
1786,"claim: What we try to do is get our community to tell us what matters to them,","premises: ['because we believe that we can get an accurate signal from the community then – people are smart.', ""They know what they want and what's good and they can tell us that, if we can ask them in a simple enough way and get aggregate data."", 'And the effect of that is that it basically normalizes for – there are going to be people who read a given news source, who will probably trust it because they read it.', ""And we've found that that's the reliable signal of content that helps to build common ground that is unlikely to be polarizing, that is unlikely to be false news, and what we're doing is helping to show that a little bit more.""]",2017,Q4,0
903,"claim: So at some level, I do think that the core mission and promise of helping to connect people with their friends and family is very fundamental, right?","premises: ['And everyone has friends and family and wants to stay connected and uses a variety of tools and ways to do that in the world today, which are often very inefficient, and the Internet offers new opportunities to make that a lot better.']",2015,Q2,0
575,"claim: So, one example of some of the things that we're excited about, again, are the click-to-Messenger ads.","premises: [""That's something we can put in News Feed in Instagram and Messenger and it both grows the ecosystem and creates a new opportunity for interaction.""]",2018,Q2,0
1006,"claim: But having said that, if to your specific question of where our differentiation lies, the first one is hybrid.","premises: ['Most people think about hybrid where they think about the cloud as the edge of their server.', 'We obviously support that with all of our servers.', ""Every server product of ours has cloud enrollment right, whether it be SQL, whether it be Windows Server, and you'll see that increasingly, even in this next wave of servers.""]",2016,Q3,0
403,claim: What we're hearing from publishers is that this is a good opportunity and they're pleased with the extensions we're making,premises: ['because it can make their ad serving and buying more efficient across the platforms they use.'],2015,Q1,0
1808,"claim: So your question about the AWS margins, that business as they continued to learn and as we continue to invent and get better at designing and operating the infrastructure and assets, we have been able to drive costs out of that business.","premises: [""So that's one of the primary drivers of the improvements that you see in margin year-over-year."", ""There's also an FX tailwind in there as well, which I think was about $60 million this quarter, which would contribute on a year-over-year basis, which really arises because we're largely priced in dollars, but have assets with local currency costs throughout the world.""]",2015,Q4,0
1836,"claim: So on the FX adjusted ARPU growth, I would just really point to the overall revenue growth rate, that's what's driving it.","premises: [""So you're coming up against a bigger business last year than we had in the past."", ""So you're seeing declining rate on that basis.""]",2015,Q1,1
1898,"claim: So what I would say is, I'm not sure about the breakthrough element of it.","premises: [""I would say it's just a demonstration of the very tight period where we – we've still added a lot, I mean, $4.6 billion is a lot of capital leases, but the rate of growth over last year is flat.""]",2018,Q2,1
937,"claim: So certainly, a lot going on in international, a lot that's really good, adding Prime subscribers at a high clip, continuing to add selection at FBA sellers.","premises: [""So you'll see devices, you see video content."", 'It may be getting there a little slower than the starting point in the U.S. but we see it really showing up in customer engagement and customer purchases.', 'On the AWS side, I think the 2016 to 2015 comparison probably stands on its own and 2014 falls by the wayside, so I would encourage you to look at recent trends.', ""So it's the whole array of Prime offering, Prime Now, Same-Day.""]",2016,Q1,1
674,claim: I would say it's a culmination of a lot of separate investments that we're making.,"premises: ['So if you look at the success of our devices, we are seeing tablets where we sold twice the volume in Q1 year-over-year.', 'Fire TV Stick, you may have read in our press release that it has greater than 100,000 customer reviews, the most reviewed product ever, 62,000 or over 62,000 of those reviews are five-star reviews.', ""We've not only had the Echo, but we have the Echo Dot and Tab, so we're branching off that product line and having trouble keeping those in stock."", 'And of course we launched the new Kindle Oasis e-reader.', ""As it is with digital content, you may have seen the recent announcements that we're working on a great amount of new content for Prime members.""]",2016,Q1,1
1275,"claim: So we're -- continue to be pursuing the same strategy as we have in North America, adding Prime benefits, adding devices, adding video content, adding AmazonFresh, Prime Now, giving a lot of value to the Prime customers in the international countries as well and also in that numbers.","premises: [""International growth, your comment about slowing down, I think there's a slowdown versus Q3, if that was your point."", '28% growth in Q3, FX neutral, was helped quite a bit by Prime Day and kind of the strengthening of Prime Day in a number of locales.', ""Although we've had Prime Day in most of those countries, it's really starting to gain more and more traction there."", 'So that is probably more of a help to Q3 than a discussion of any weakness in Q4.']",2017,Q4,2
1912,"claim: So we're pretty early in this whole thing and there's so much unique content that people share in Facebook that I think that that is the clear, unique opportunity to go for first, right?","premises: [""I mean there's – if you think about the overall web, there's a lot of public content that's out there that any web search engine can go index and provide."", ""But a lot of what we can get at are recommendations on products and travel and restaurants and things that your friends have shared, they haven't shared publicly, and knowing different correlations, or interesting things about what your friends are interested in, and that's the type of stuff, those are questions that we can answer that no one else can answer, and that's probably going to be what we continue to focus on doing first."", ""And I think what you're seeing is that as we enable more use cases and as we just get a lot of the basics right around performance and bringing the mobile features into parity and beyond what we've been able to do on desktop, the volume is growing quickly."", ""I think on a recent earnings call we just announced that we passed 1 billion searches total so now being more than 1 billion on mobile shows some progress that I'm pretty proud of for the search team.""]",2015,Q1,2
222,"claim: That said, the trade relationships and agreements that the U.S. has between the U.S. and other major economies are very complex and it's clear that several are in need of modernizing, but we think that in the vast majority of situations that tariffs are not the approach to doing that and so we're sort of encouraging dialogue and so forth.",premises: ['And our view on tariffs is that they show up as a tax on the consumer and wind up resulting in lower economic growth and sometimes can bring about significant risk of unintended consequences.'],2018,Q3,0
1232,"claim: Obviously, that inventory was required","premises: ['because of all the new products that we announced on iPad with the iPad Air 2 and the iPad Mini 3 in the October timeframe during the quarter.', 'On iPad, we increased channel inventory by 1.1 million units from beginning of the quarter to end of the quarter.']",2015,Q1,2
1994,"claim: When we introduce ads into feed and continue to increase the ad load, we monitor really carefully.","premises: ['We’re looking at user engagement on the platform, we also look at the quality of ads.']",2015,Q4,0
395,"claim: So, obviously, the mix of products was very strong.","premises: ['Keep in mind that the foreign exchange impact on that number was $49.', ""We couldn't be happier with the level of ASP that we generated in the December quarter."", 'Our iPhone ASP was $691 during the December quarter.']",2016,Q1,2
1044,"claim: But I view India as where China was maybe seven to ten years ago from that point of view, and I think there's a really great opportunity there.","premises: ['But because the smartphones that are working there are low end, primarily because of the network and the economics, the market potential has not been as great there.', 'It is already the third largest smartphone market in the world.']",2016,Q2,0
1109,claim: The way we look at it and the way we believe it works at least in our business is that customers will have a holiday budget and they will spend it between generally the middle of November.,"premises: [""It's creeping up to the early part of November through the holiday season."", 'And we do see obviously spikes in Black Friday and Cyber Monday and we also see relative tick-up in trends as we get closer to the holiday and for the shipping threshold cutoff.']",2019,Q4,0
793,"claim: So, yes, the short answer is that we're much more confident that we're going to get this right for the elections in the 2018, which include the U.S. midterms, but also the elections in Brazil and upcoming elections in early-2019 in India and the EU.","premises: [""And the reason why we're confident that we can get this right is because there have been several elections since the 2016 ones that have had much better results, including the French presidential election, the German elections, the Alabama special election, and the Mexican election about a month ago."", 'And in each of these – going back to 2016, we were – we have a very big security team that was focused on security around even the 2016 election and we found hacking and phishing attacks that the Russian government was trying to do, and we notified the right people about those.']",2018,Q2,1
185,"claim: So on ad load, it's definitely up from where we were couple of years ago.","premises: [""I think it's really worth emphasizing that what has enabled us to do that is just improving the quality and the relevance of the ads that we have, and that's enabled us to show more of them without harming the user experience at all."", ""Over time, we would expect that ad load growth will be a less significant factor driving overall revenue growth, but we remain confident that we've got opportunities to continue to grow supply through the continued growth in people and engagement on Facebook as well as on our other apps such as Instagram.""]",2016,Q1,1
545,"claim: To step back again on that, our general philosophy is we want to find things - businesses that customers love, that can grow to be large, will provide strong financial returns, and are durable that can last for decades.","premises: ['We think Prime is that.', ""We continue to have healthy investments as we've stated across the globe."", 'We think marketplace is that.', 'We think AWS is that.', 'And we are constantly looking for a fourth or fifth business that fits that criteria.', 'As I said in Prime, the Prime platform, Prime features for customers, expansion for fulfillment capacity as we build out to support 26% unit growth in Q4, for instance and much greater FBA share, and not to mention all the investments in AWS, we are constantly looking for cost efficiencies and fixing variable productivity.']",2015,Q4,2
1489,"claim: From a revenue point of view, we had very strong growth there.",premises: ['Emerging markets ex-China were up 18% year on year.'],2017,Q3,1
2109,claim: That is servicing – accelerating usage in our largest AWS services as well as geographic expansion.,"premises: [""They've increased 71% through the end of Q2 versus last year.""]",2017,Q2,0
741,"claim: But most people who come to News Feed and who come to Facebook today in general are trying figure out – they're trying to see what's going on with their friends, see what's happening in the world.","premises: [""They're not coming necessarily to engage in a specific type of video or specific community around video.""]",2017,Q3,0
1129,"claim: As we look at it on a sequential basis, there's a couple of things that I think is important to point out.","premises: ['I mentioned the foreign exchange headwinds.', 'We need to deal with them, but they obviously are a negative to revenue.', 'Those are headwinds that we had this year and were not there a year ago.', 'We’ve also said the manufacturing ramp that we’ve had this year in the December quarter has been the fastest that we’ve ever had.', 'And we also had a very, very strong quarter in Japan in the March quarter a year ago, which was driven by very significant carrier promotional activities, and a pull forward of sales into the March quarter in anticipation of a consumption tax increase that took place on April 1, and again that is not going to repeat.', ""And then there's a couple of specific events that happened last year in the March quarter which are not going to repeat this year."", 'One of them is the fact that last year in January we launched China Mobile and we had the subsequent channel sale for China Mobile.']",2015,Q1,1
1166,claim: I would note we've been benefiting from continued growth across Instagram.,"premises: [""Instagram ad load in feed is at the same level as Facebook, so that would be – that's certainly been helpful in our recent quarters.""]",2018,Q2,2
732,"claim: In MPC, I generally expect he will continue to see improvement through the year just based on the mix of products that we will have over the course of the year, that's not new.","premises: ['And so, I suspect you will see a similar pattern on a similar desire by Satya to continue to invest toward growth especially on the commercial side.', 'Use all the same mechanism last year through the year.', 'As we pivot from our phone business to some of our higher margin product.']",2017,Q1,0
1358,"claim: Again, I would say that we're very happy with the Prime membership growth and it has remained pretty consistent both in Q4 and then through Q1 and Q2 of this year.","premises: [""There's also – in that line item are also other monthly fees associated with some of our other subscription services like audiobooks, e-books, digital video and digital music.""]",2017,Q2,1
695,claim: And obviously the kind of numbers that we have indicated growth in the revenue means that iPhone would have another stellar quarter.,"premises: ['But as I back up from it and look at it more from a macro point of view, the things that makes me very bullish is the 27% number I just quoted, the fact that we are seeing the highest Android switcher rate, the customer satisfaction that we have on the iPhone versus the competition.', ""It's a huge margin."", 'The loyalty rate that we have versus competition, an enormous gap there.', ""I also look at the first time iPhone buyers and we're still seeing very, very large numbers in the countries that you would want to see those in, like China and Russia and Brazil and so forth."", 'I also see a market that over a five-year horizon, if you look at the IDC numbers, is projected to grow from 1.3 million in 2014 to over 1.9 billion – this is billion, rather, billion in 2019.']",2015,Q3,1
892,claim: We saw good acceleration in both North America and International this quarter.,"premises: [""North America was up 200 basis points sequentially and International was up 800 basis points and half of that you remember we've spoken about the impact of the Japanese consumption tax that was instituted last – April 1 of 2014"", 'It had a measurable impact on our run rate, our growth rate last year particularly Q2.', 'And so we are lapping that, which sequentially makes up half of the 800 basis points sequential gain.']",2015,Q2,1
211,claim: And we've taken down a lot of effort by different nation states to harm or interfere in elections that way.,"premises: ['The same goes for things around election interference and more proactively looking for inauthentic behavior.', ""So we're just going to go down the list of every basic type of bad content."", 'And we do report this publicly, going back to your question.', 'We issue a transparency report.']",2018,Q4,0
775,"claim: So we are very happy with the - not only the absolute membership levels of the Prime program, but also the engagement.","premises: ['Justin, I would say, as I said, I believe, on the last call, we had more people sign up for Prime in 2018 than any other year before.']",2019,Q1,1
1793,"claim: It's a strong double-digit growth, 13% to 17%.","premises: ['We are guiding to $62 billion.', ""In context, it's $7 billion to $9 billion above last year."", ""So when you put things in perspective and you add the $10 billion of growth that we had in the first quarter and the $7 billion to $9 billion that we're guiding to for the second quarter, you're talking about $17 billion to $19 billion of growth in six months.""]",2018,Q1,1
1948,"claim: Well, I will point out that this quarter showed a lot of innovation, a lot of new products and features and a lot of investment.","premises: [""We've already talked about India but domestically we are, globally, we are investing very heavily in our Prime platform, both in North America and International and that includes video content and original content, Prime Music."", 'Phil just said the Prime Now has been expanded to 14 metro areas.', ""We've had same-day delivery now in 16 metro areas."", ""We've built 14 new fulfillment centers."", ""We've launched multiple devices including e-readers, tablets that are priced under $50, Echo, Dash Button."", 'And on the AWS side, as I said, we have 530 new features so far this year.']",2015,Q3,0
877,"claim: And so, the ecosystem there is very, very strong.","premises: ['I was very impressed with the number the developers I met last week and of course, the customers in stores are enthusiastically contagious.', ""And that's not just for sales, that's also developer community is growing faster than any other country in the world.""]",2015,Q4,2
525,"claim: And so when I think about the material gross margin improvement we saw in Azure, it continues the path we've actually been on where we've been discussing,","premises: [""as you continue to see customers ask for us and our help in managing their digital estate, consistently, securely through one interface, you'll actually see growth across all components of that cloud."", 'It benefits margin, not just in Azure but across actually the entirety of the cloud.']",2017,Q2,0
1479,claim: We continue to watch the end of support.,"premises: [""It's really critical for us for customers to have a terrific experience as we upgrade them and ask them to move to Windows 10 with a lot of value.""]",2019,Q1,0
978,claim: The reason for the acceleration also here is multiple factors.,"premises: ['One that is very, very important for us is the fact that the App Store, which is the largest of our Services categories, is seeing an increasingly larger amount of paying accounts.']",2017,Q3,0
533,"claim: And on AmazonFresh, we continue to have a strong Fresh business in a number of cities in the U.S.","premises: [""And you'll also notice that we have other ways for people to buy consumable products"", 'We have Prime Pantry.', 'We have Prime Now']",2016,Q1,0
1647,"claim: We think that there is a great case for not just our business, but also for the user experience on Facebook to have targeting because we think it's a better experience for the people who use Facebook to have targeted ads.","premises: [""We think we can do that in a privacy-protected way, and it's just a better experience."", 'You get more relevant ads.', 'And I think overall benefits not only the advertisers, but also the people who use Facebook.']",2018,Q1,0
1398,claim: We do see growth in the other verticals as well.,"premises: [""You're right that historically it took us a longer time to break into some of these, particularly travel and auto were things that took us longer, but we are seeing some really nice traction."", ""I talked about Mary Barra and what she and I did together in New York at Adweek, and we're seeing them not just use the platform for advertising but really use the platform."", 'So earlier this year, they rolled out a car at CES on Facebook video rather than at a car show.', 'And that was a big moment for us, I think, in the auto vertical.']",2016,Q3,2
366,"claim: So it's really nothing more than looking at the state of the program, the high benefits it's delivering.","premises: ['I mentioned that four years ago when we last increased the price of Prime, you could get 20 million products within two days.', 'Today you could get over 100 million products within two days, and many, many, many products within one day, same day or two hours.', ""So there's all kinds of new features that we've continually added to the Prime program."", ""It's much different than it was in 2014.""]",2018,Q1,1
955,"claim: We're very hopeful with the progress we've made with sellers and customers alike in India and we see great momentum and success there, so we continue to invest and we have some of our best people in that business.","premises: ['The North America segment is a little further along in the Prime, excuse me, yes, the Prime membership growth curve.', 'And so in some respects we are giving benefits earlier in the lifecycle to international Prime customers than we did in North America just because it launched later.', ""And there's also India, as I mentioned, we continue to invest in India.""]",2017,Q2,0
2098,"claim: The first one is the fact that the launch timing of the new iPhones this year is essentially in reverse order versus last year, and that has had an effect on Q4 and will have an effect on Q1.","premises: ['Last year, we launched the top end of our iPhone lineup, which was iPhone X, during Q1 and placed the entirety of the channel fill for iPhone X in Q1.', 'This year, we launched the top end of the lineup, which is the XS and the XS Max during Q4.', 'Obviously, this resulted in more pronounced ASP growth in Q4 of 2018 and obviously a tougher compare for Q1.']",2018,Q4,1
710,claim: And that product I think is a pretty revolutionary product,"premises: [""because for the first time you can take a single table in a database and you would tier it with the cloud, and that kind of capability only we can provide, and that's something that I'm looking forward to.""]",2015,Q4,0
594,"claim: In terms of Instagram and Facebook, we believe that marketers are looking to connect with people in a really deep way, connect with the right people, and our targeting we think is really strong compared to any other platform, at the right time.","premises: ['And that really means mobile.', ""And we see such engagement on both Facebook and Instagram along with the different targeting and ad formats, we believe we'll be able to have and are already starting to have a relationship with marketers which grow across both platforms.""]",2015,Q2,0
875,"claim: And so, we've been able to grow without the market growing.","premises: ['If you take iPhone out of the market number, the certain market x iPhone actually contracted slightly.', 'If you look at China, we grew from an iPhone point of view, Greater China, we grew 87% the market grew for.', 'iPhone 6 was the number one selling smartphone in Mainland, China last quarter and iPhone 6 Plus was number three.']",2015,Q4,2
1010,"claim: So when you think about Instagram, we're seeing great growth there with the community.","premises: ['So this past quarter, we announced 700 million monthly actives, so that was a big announcement.']",2017,Q1,2
1698,claim: So that's really our strategy with LinkedIn as the professional network meeting the professional cloud.,"premises: ['And now the professional cloud or the professional network helps usage across all of that professional usage.', ""Whether it's in Office 365 or whether you're a salesperson using any application related to sales, you want your professional network there"", ""Of course, it's relevant in recruiting, it's relevant in training, it's relevant in marketing.""]",2016,Q4,0
247,claim: It’s important to note that it’s not just large brand advertisers that are doing video but all of our market segments.,"premises: ['Direct response, SMBs who have uploaded 1.5 million videos and have both organic and paid in the last month, and developers.']",2015,Q4,2
2020,"claim: For September, we're also guiding about flat sequentially at the midpoint.","premises: ['As you know, we typically have what we call product transition costs during the September quarter, and this year we also have about 30 bps of headwind from foreign exchange again because the dollar has appreciated recently.']",2018,Q3,2
2001,"claim: We're excited about a new surface where businesses can interact with consumers, but also really a new functionality.","premises: ['If you go further out, you would then start thinking about WhatsApp.', ""We are very focused there on the user experience, but we're also focused even earlier stages on growing our business ecosystem."", 'The WhatsApp Business app has launched, and we now have more than 3 million people actively using it to test business solutions.']",2018,Q2,0
1686,claim: Our current outlook for 2019 does suggests that we’ll see margins come down this year versus 2018.,premises: ['Even if you were to set aside the $5 billion FTC accrual.'],2019,Q2,1
957,claim: We think it's a great opportunity to reach customers who are already in a discovery mindset.,"premises: ['So more than 50% of accounts on Instagram are using Explore every month.', 'And as of Q3, ads were available to 100% of advertisers.']",2019,Q4,2
1073,claim: And there is a path.,"premises: ['Every customer sometimes just starts with infrastructure as a service and some storage.', ""And then the lift-shift turns into lift-shift and modernize and that's where these premium services get activated.""]",2018,Q1,0
1139,"claim: And to your point on where we are and what's driving that delta and its consistency, frankly, over time, actually still the biggest impact is from the transition to E3.",premises: ['Transitions take time.'],2017,Q2,0
1165,"claim: Even at decreasing growth rates, we are still growing and predicting growth at very healthy rates, and that's based on returning for advertisers.","premises: [""We're very focused on helping advertisers meet their ultimate goals, looking at their ROI, looking at the return they get on ringing the cash register, whether that cash register rings online or offline."", 'And we hear from them and we continue to see in our results that we continue to deliver strong results.', ""And what we're hearing from advertisers all over the world is that they want to continue to grow and invest with us as well.""]",2018,Q2,0
598,"claim: So, to the first question, video is a big opportunity for us.","premises: [""Mark talked about how we have 4 billion video views on Facebook everyday and we've always believed that the format of our ads should follow the format of what consumers are doing on Facebook."", 'So many years ago when the homepage ticker was in vogue, we never did that.', ""And so the fact that there's so much consumer video, that gives us the opportunity to do more marketing video as well.""]",2015,Q1,0
120,claim: But what happened last quarter in China was a confluence of things.,"premises: ['The government stimulus, this came in terms of a VAT reduction, a very bold one.', 'We took some pricing action, we instituted our trade-in and financing programs in our retail stores and worked with certain channel partners on that as well.']",2019,Q3,2
